"","pp_code","treatment","trial","block","pred_prob","pred_gain","pred_loss","pred_hotcold","uncens1_cens2","NrCards_perTrial","QneedAverage","Qtype1_average_5items","Qtype2_average_5items","Qtype1_average_4items","Qtype2_average_4items","Qtype1_average_3items"
"1",1,"B","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","hot",1,1,63,69.2,30.2,68,34,67.6666666666667
"2",1,"B","b1p2g2l1","bl1","ThreeLossCards","+30p","-250p","hot",2,5,63,69.2,30.2,68,34,67.6666666666667
"3",1,"B","b2p1g1l1","bl2","OneLossCard","+10p","-250p","hot",1,11,63,69.2,30.2,68,34,67.6666666666667
"4",1,"B","b2p1g1l2","bl2","OneLossCard","+10p","-750p","hot",1,1,63,69.2,30.2,68,34,67.6666666666667
"5",1,"B","b2p1g2l1","bl2","OneLossCard","+30p","-250p","hot",1,17,63,69.2,30.2,68,34,67.6666666666667
"6",1,"B","b3p1g1l1","bl3","OneLossCard","+10p","-250p","hot",1,13,63,69.2,30.2,68,34,67.6666666666667
"7",1,"B","b3p1g1l2","bl3","OneLossCard","+10p","-750p","hot",1,4,63,69.2,30.2,68,34,67.6666666666667
"8",1,"B","b3p1g2l1","bl3","OneLossCard","+30p","-250p","hot",2,6,63,69.2,30.2,68,34,67.6666666666667
"9",1,"B","b3p1g2l2","bl3","OneLossCard","+30p","-750p","hot",1,7,63,69.2,30.2,68,34,67.6666666666667
"10",1,"B","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","hot",1,4,63,69.2,30.2,68,34,67.6666666666667
"11",1,"B","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","hot",1,2,63,69.2,30.2,68,34,67.6666666666667
"12",1,"B","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","hot",1,8,63,69.2,30.2,68,34,67.6666666666667
"13",1,"B","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","hot",2,3,63,69.2,30.2,68,34,67.6666666666667
"14",1,"B","b2p1g2l2","bl2","OneLossCard","+30p","-750p","hot",1,6,63,69.2,30.2,68,34,67.6666666666667
"15",1,"B","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","hot",2,3,63,69.2,30.2,68,34,67.6666666666667
"16",1,"B","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","hot",1,1,63,69.2,30.2,68,34,67.6666666666667
"17",1,"B","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","hot",1,7,63,69.2,30.2,68,34,67.6666666666667
"18",1,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","hot",1,5,63,69.2,30.2,68,34,67.6666666666667
"19",1,"B","b1p1g1l1","bl1","OneLossCard","+10p","-250p","hot",1,10,63,69.2,30.2,68,34,67.6666666666667
"20",1,"B","b1p1g1l2","bl1","OneLossCard","+10p","-750p","hot",1,5,63,69.2,30.2,68,34,67.6666666666667
"21",1,"B","b1p1g2l1","bl1","OneLossCard","+30p","-250p","hot",2,10,63,69.2,30.2,68,34,67.6666666666667
"22",1,"B","b1p1g2l2","bl1","OneLossCard","+30p","-750p","hot",1,6,63,69.2,30.2,68,34,67.6666666666667
"23",1,"B","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","hot",2,2,63,69.2,30.2,68,34,67.6666666666667
"24",1,"B","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","hot",1,3,63,69.2,30.2,68,34,67.6666666666667
"25",1,"B","b1p1g2l2","bl1","OneLossCard","+30p","-750p","cold",1,14,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"26",1,"B","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","cold",2,5,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"27",1,"B","b1p1g1l1","bl1","OneLossCard","+10p","-250p","cold",1,11,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"28",1,"B","b1p1g1l2","bl1","OneLossCard","+10p","-750p","cold",2,12,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"29",1,"B","b1p1g2l1","bl1","OneLossCard","+30p","-250p","cold",2,21,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"30",1,"B","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","cold",1,4,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"31",1,"B","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","cold",2,15,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"32",1,"B","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","cold",2,4,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"33",1,"B","b3p1g1l1","bl3","OneLossCard","+10p","-250p","cold",2,12,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"34",1,"B","b3p1g1l2","bl3","OneLossCard","+10p","-750p","cold",1,4,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"35",1,"B","b3p1g2l1","bl3","OneLossCard","+30p","-250p","cold",2,17,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"36",1,"B","b1p2g2l1","bl1","ThreeLossCards","+30p","-250p","cold",2,7,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"37",1,"B","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","cold",2,7,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"38",1,"B","b2p1g1l1","bl2","OneLossCard","+10p","-250p","cold",2,18,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"39",1,"B","b2p1g1l2","bl2","OneLossCard","+10p","-750p","cold",2,4,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"40",1,"B","b2p1g2l1","bl2","OneLossCard","+30p","-250p","cold",2,15,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"41",1,"B","b2p1g2l2","bl2","OneLossCard","+30p","-750p","cold",1,10,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"42",1,"B","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","cold",2,11,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"43",1,"B","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","cold",1,1,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"44",1,"B","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","cold",2,10,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"45",1,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","cold",1,8,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"46",1,"B","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","cold",2,7,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"47",1,"B","b3p1g2l2","bl3","OneLossCard","+30p","-750p","cold",1,10,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"48",1,"B","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","cold",1,8,65.25,59.6,42.6,58.25,43.5,53.3333333333333
"49",10,"B","b1p1g1l1","bl1","OneLossCard","+10p","-250p","hot",2,12,70.125,89.8,13,96.25,16,95
"50",10,"B","b1p1g1l2","bl1","OneLossCard","+10p","-750p","hot",1,22,70.125,89.8,13,96.25,16,95
"51",10,"B","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","hot",1,6,70.125,89.8,13,96.25,16,95
"52",10,"B","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","hot",1,7,70.125,89.8,13,96.25,16,95
"53",10,"B","b1p1g2l1","bl1","OneLossCard","+30p","-250p","hot",2,12,70.125,89.8,13,96.25,16,95
"54",10,"B","b1p1g2l2","bl1","OneLossCard","+30p","-750p","hot",2,10,70.125,89.8,13,96.25,16,95
"55",10,"B","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","hot",2,9,70.125,89.8,13,96.25,16,95
"56",10,"B","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","hot",2,1,70.125,89.8,13,96.25,16,95
"57",10,"B","b1p2g2l1","bl1","ThreeLossCards","+30p","-250p","hot",1,5,70.125,89.8,13,96.25,16,95
"58",10,"B","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","hot",2,12,70.125,89.8,13,96.25,16,95
"59",10,"B","b2p1g1l1","bl2","OneLossCard","+10p","-250p","hot",1,20,70.125,89.8,13,96.25,16,95
"60",10,"B","b2p1g1l2","bl2","OneLossCard","+10p","-750p","hot",2,6,70.125,89.8,13,96.25,16,95
"61",10,"B","b2p1g2l1","bl2","OneLossCard","+30p","-250p","hot",2,9,70.125,89.8,13,96.25,16,95
"62",10,"B","b2p1g2l2","bl2","OneLossCard","+30p","-750p","hot",1,16,70.125,89.8,13,96.25,16,95
"63",10,"B","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","hot",2,11,70.125,89.8,13,96.25,16,95
"64",10,"B","b3p1g1l1","bl3","OneLossCard","+10p","-250p","hot",1,16,70.125,89.8,13,96.25,16,95
"65",10,"B","b3p1g1l2","bl3","OneLossCard","+10p","-750p","hot",1,8,70.125,89.8,13,96.25,16,95
"66",10,"B","b3p1g2l1","bl3","OneLossCard","+30p","-250p","hot",2,19,70.125,89.8,13,96.25,16,95
"67",10,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","hot",2,2,70.125,89.8,13,96.25,16,95
"68",10,"B","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","hot",2,5,70.125,89.8,13,96.25,16,95
"69",10,"B","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","hot",1,9,70.125,89.8,13,96.25,16,95
"70",10,"B","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","hot",1,10,70.125,89.8,13,96.25,16,95
"71",10,"B","b3p1g2l2","bl3","OneLossCard","+30p","-750p","hot",2,15,70.125,89.8,13,96.25,16,95
"72",10,"B","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","hot",1,6,70.125,89.8,13,96.25,16,95
"73",10,"B","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","cold",1,0,63.75,48.4,57.6,54.25,63,44
"74",10,"B","b2p1g2l2","bl2","OneLossCard","+30p","-750p","cold",1,0,63.75,48.4,57.6,54.25,63,44
"75",10,"B","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"76",10,"B","b1p1g1l1","bl1","OneLossCard","+10p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"77",10,"B","b1p1g1l2","bl1","OneLossCard","+10p","-750p","cold",1,0,63.75,48.4,57.6,54.25,63,44
"78",10,"B","b1p1g2l1","bl1","OneLossCard","+30p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"79",10,"B","b1p1g2l2","bl1","OneLossCard","+30p","-750p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"80",10,"B","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","cold",2,27,63.75,48.4,57.6,54.25,63,44
"81",10,"B","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","cold",1,0,63.75,48.4,57.6,54.25,63,44
"82",10,"B","b1p2g2l1","bl1","ThreeLossCards","+30p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"83",10,"B","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"84",10,"B","b2p1g1l1","bl2","OneLossCard","+10p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"85",10,"B","b2p1g1l2","bl2","OneLossCard","+10p","-750p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"86",10,"B","b2p1g2l1","bl2","OneLossCard","+30p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"87",10,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","cold",1,0,63.75,48.4,57.6,54.25,63,44
"88",10,"B","b3p1g1l1","bl3","OneLossCard","+10p","-250p","cold",2,23,63.75,48.4,57.6,54.25,63,44
"89",10,"B","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","cold",1,0,63.75,48.4,57.6,54.25,63,44
"90",10,"B","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"91",10,"B","b3p1g2l2","bl3","OneLossCard","+30p","-750p","cold",2,23,63.75,48.4,57.6,54.25,63,44
"92",10,"B","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"93",10,"B","b3p1g1l2","bl3","OneLossCard","+10p","-750p","cold",2,22,63.75,48.4,57.6,54.25,63,44
"94",10,"B","b3p1g2l1","bl3","OneLossCard","+30p","-250p","cold",2,32,63.75,48.4,57.6,54.25,63,44
"95",10,"B","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","cold",1,0,63.75,48.4,57.6,54.25,63,44
"96",10,"B","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","cold",1,10,63.75,48.4,57.6,54.25,63,44
"97",11,"B","b1p2g1l2","bl1","ThreeLossCards","+10p","-750p","hot",2,4,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"98",11,"B","b1p2g2l1","bl1","ThreeLossCards","+30p","-250p","hot",1,10,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"99",11,"B","b1p1g1l1","bl1","OneLossCard","+10p","-250p","hot",1,10,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"100",11,"B","b1p1g1l2","bl1","OneLossCard","+10p","-750p","hot",1,9,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"101",11,"B","b1p1g2l1","bl1","OneLossCard","+30p","-250p","hot",2,4,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"102",11,"B","b1p1g2l2","bl1","OneLossCard","+30p","-750p","hot",1,14,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"103",11,"B","b1p2g1l1","bl1","ThreeLossCards","+10p","-250p","hot",1,12,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"104",11,"B","b3p1g1l1","bl3","OneLossCard","+10p","-250p","hot",1,10,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"105",11,"B","b3p1g1l2","bl3","OneLossCard","+10p","-750p","hot",1,14,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"106",11,"B","b3p1g2l1","bl3","OneLossCard","+30p","-250p","hot",2,10,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"107",11,"B","b3p1g2l2","bl3","OneLossCard","+30p","-750p","hot",2,7,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"108",11,"B","b1p2g2l2","bl1","ThreeLossCards","+30p","-750p","hot",2,1,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"109",11,"B","b2p1g1l1","bl2","OneLossCard","+10p","-250p","hot",1,20,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"110",11,"B","b2p1g1l2","bl2","OneLossCard","+10p","-750p","hot",2,4,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"111",11,"B","b2p1g2l1","bl2","OneLossCard","+30p","-250p","hot",2,17,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"112",11,"B","b2p1g2l2","bl2","OneLossCard","+30p","-750p","hot",1,17,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"113",11,"B","b2p2g1l1","bl2","ThreeLossCards","+10p","-250p","hot",2,3,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"114",11,"B","b2p2g1l2","bl2","ThreeLossCards","+10p","-750p","hot",1,2,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"115",11,"B","b2p2g2l1","bl2","ThreeLossCards","+30p","-250p","hot",1,5,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"116",11,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","hot",2,3,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"117",11,"B","b3p2g1l1","bl3","ThreeLossCards","+10p","-250p","hot",1,6,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"118",11,"B","b3p2g1l2","bl3","ThreeLossCards","+10p","-750p","hot",1,2,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"119",11,"B","b3p2g2l1","bl3","ThreeLossCards","+30p","-250p","hot",2,6,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"120",11,"B","b3p2g2l2","bl3","ThreeLossCards","+30p","-750p","hot",1,4,35.625,59.8,38.2,59.5,45.75,47.6666666666667
"121",11,"B","b2p2g2l2","bl2","ThreeLossCards","+30p","-750p","cold",1,3,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"122",11,"B","b3p1g1l1","bl3","OneLossCard","+10p","-250p","cold",2,10,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"123",11,"B","b3p1g1l2","bl3","OneLossCard","+10p","-750p","cold",1,10,33.5,27.8,80.8,34.25,89.75,12.6666666666667
"124",11,"B","b1p1g1l1","bl1","OneLossCard","+10p","-250p","cold",1,18,33.5,27.8,80.8,34.25,89.75,12.6666666666667
